"date","site.id","observer","rs","fd","irs","rh","f1.pnt5to3","f1.gt3","f2.pnt5to3","f2.gt3","f3.pnt5to3","f3.gt3","x","y","notes","mean.clod.prnct"
2016-03-03 09:39:48,"1628A","WR,SR,ED,MS",300,98,242,41,0,95,15,55,15,75,416956.0726,4028598.1253,NA,85
2016-03-03 13:51:18,"1634A","WR",284,112,596,44,0,95,5,85,5,85,421940.6204,4037423.8233,NA,91.6666666666667
2016-03-03 14:38:39,"1632B","WR",261,111,400,50,5,0,0,0,5,0,422138.6223,4037067.15,NA,3.33333333333333
2016-03-03 11:30:01,"1630B","ed",240,55,333,15,15,0,5,0,5,0,417605.6613,4029419.2823,NA,8.33333333333333
2016-03-03 14:52:41,"1633A","WR",278,96,448,29,15,65,15,65,5,55,422081.0129,4037305.2952,NA,73.3333333333333
2016-03-03 11:19:24,"1630A","ed",292,83,334,14,65,0,25,0,25,0,417643.586,4029427.9072,NA,38.3333333333333
2016-03-03 10:01:05,"1628B","ed",269,97,202,48,5,75,25,65,45,35,416922.7204,4028580.4736,NA,83.3333333333333
2016-03-03 10:37:27,"1626A","ed",289,88,301,46,25,65,25,55,55,35,416441.1843,4028196.8293,NA,86.6666666666667
2016-03-03 14:10:10,"1632A","WR",285,112,533,39,5,15,0,35,5,35,422201.4654,4037101.1955,NA,31.6666666666667
2016-03-03 13:09:29,"1631B","WR",308,118,389,50,5,0,5,0,5,0,422248.5511,4036897.7581,NA,5
2016-03-03 11:52:05,"1629A","ed",288,94,383.5,35.5,5,25,15,55,15,65,418440.1022,4029497.6872,NA,60
2016-03-03 10:48:44,"1626B","ed",327,99,164,38,15,55,25,25,15,55,416479.1153,4028196.1305,NA,63.3333333333333
2016-03-03 12:08:51,"1629B","ed",256.5,80,205.7,25.4,45,0,55,15,35,15,418328.7058,4029504.8392,NA,55
2016-03-03 14:23:35,"1631A","WR",328,122,450,44,25,5,65,35,75,15,422299.9258,4036931.6858,NA,73.3333333333333
2016-03-03 14:25:42,"1635C","SR",264,53,315,42,0,0,0,0,0,0,415573.5699,4039648.4301,NA,0
2016-03-03 14:36:07,"1635B","SR",250,69,390,35,0,0,0,0,0,0,415650.4381,4039682.3804,NA,0
2016-03-03 13:50:32,"1636A","SR",280,68,346,48,0,0,0,0,0,0,415341.8875,4039785.278,NA,0
2016-03-03 14:11:20,"1635A","SR",265,70,350,49,0,0,0,0,0,0,415707.4499,4039642.4657,NA,0
2016-03-04 10:07:27,"1637B","WR",310,80,499,37,65,5,15,45,15,65,416685.6399,4027270.4837,NA,70
2016-03-04 10:51:22,"1640B","WR",325,79,398,25,25,25,5,45,65,0,416852.9902,4027809.8014,NA,55
2016-03-04 12:51:50,"1615A","WR",293,99,393,40,5,0,5,0,5,0,412187.7642,4022357.5597,NA,5
2016-03-04 09:56:12,"1639B","WR",345,95,407,37,5,0,5,5,5,35,417023.127,4027266.0236,NA,18.3333333333333
2016-03-04 13:24:44,"1613B","WR",307,90,409,51,15,55,25,65,15,45,411604.1794,4021781.8419,NA,73.3333333333333
2016-03-04 09:27:29,"1639A","WR",327,79,534,32,0,95,5,95,5,65,416866.6351,4027072.8309,NA,88.3333333333333
2016-03-04 12:33:40,"1614B","WR",285,95,333,39.5,5,75,5,85,5,95,411607.2477,4022038.9634,NA,90
2016-03-04 10:36:55,"1638A","WR",302,87,401,27,5,95,15,65,15,75,416687.6526,4027619.5813,NA,90
2016-03-04 12:08:06,"1612B","WR",300,92,384,42,35,65,45,45,15,65,411177.9862,4021901.4582,NA,90
2016-03-04 11:59:12,"1612A","WR",306,97,345,44,25,45,35,45,15,45,411111.4395,4021906.4662,NA,70
2016-03-04 13:58:38,"1609A","WR",241,85,451,34,5,25,5,15,15,15,413032.8266,4020860.054,NA,26.6666666666667
2016-03-04 12:58:06,"1615B","WR",293,98,382,44.5,0,5,5,25,5,35,412110.7247,4022380.7492,NA,25
2016-03-04 13:31:51,"1613A","WR",286,88,447,46,15,65,5,65,95,0,411557.2142,4021770.783,NA,81.6666666666667
2016-03-04 12:25:22,"1614A","WR",323,88,353,30,35,25,5,85,25,35,411666.8308,4022020.0519,NA,70
2016-03-04 14:13:46,"1609B","WR",207,72.5,478,34,5,0,5,5,5,15,412979.5415,4020827.7509,NA,11.6666666666667
2016-03-04 11:07:46,"1638B","WR",326,95,368,28,15,55,15,0,35,0,416537.7917,4027770.2339,NA,40
2016-03-04 10:25:55,"1640A","WR",307,89,412,28,15,5,15,35,35,25,417038.0432,4027633.9673,NA,43.3333333333333
2016-03-04 09:40:31,"1637A","WR",358,96,522,32,65,15,35,5,5,75,416545.4266,4027063.9386,NA,66.6666666666667
2016-03-03 13:13:18,"1627A","ed",280,90,300,33,5,65,5,65,5,85,416884.4863,4027998.7525,NA,76.6666666666667
2016-03-03 13:25:51,"1627B","ed",245,69,325,18,5,95,5,75,5,85,416822.6072,4028008.7763,NA,90
2016-03-03 13:57:33,"1620A","ed",250,82,565,40,15,85,15,85,15,85,413829.5793,4022180.4563,NA,100
2016-03-03 14:08:28,"1619A","ed",167,60,665,22,0,0,0,0,0,0,413694.2694,4022156.8405,NA,0
2016-03-03 14:40:21,"1621A","ed",205,72,670,24,5,0,15,0,5,5,413870.1201,4021969.829,NA,10
2016-03-03 14:44:55,"1618A","ed",175,66,675,28,0,0,0,0,0,0,413681.9674,4021948.7349,NA,0
2016-03-04 09:56:04,"1617A","ed",280,91,483,51,0,0,0,0,0,0,412823.2711,4022026.6558,"5cm water in furrow",0
2016-03-04 10:07:05,"1617B","ed",282,84,376,37,5,0,5,0,5,0,412774.2165,4022057.4345,NA,5
2016-03-04 10:14:44,"1617C","ed",300,64,358,29,0,0,0,0,5,0,412726.7817,4022052.9194,NA,1.66666666666667
2016-03-04 10:42:58,"1616B","ed",259,84,452,36,5,15,5,35,5,5,412265.8142,4021920.0065,"18cm water in furrow",23.3333333333333
2016-03-04 10:50:27,"1616A","ed",279,88,475,36,5,0,0,5,5,0,412334.9761,4021933.9512,"30cm water in furrow",5
2016-03-04 11:19:15,"1600A","ed",318,84,333,37,0,55,5,5,5,55,410292.6782,4020437.7534,"25cmwater in furrow",41.6666666666667
2016-03-04 11:23:39,"1600B","ed",290,81,376,28,5,25,5,25,5,35,410223.5624,4020438.4679,"23cm water in furrow",33.3333333333333
2016-03-04 11:51:50,"1601A","ed",310,84,475,47,15,65,15,65,25,25,410899.5818,4020093.477,NA,70
2016-03-04 12:00:24,"1601B","ed",297,91,414,50,5,95,5,95,5,95,410981.6083,4020108.3886,NA,100
2016-03-04 12:21:38,"1602A","ed",333,102,458,52,5,55,5,45,5,65,410839.3442,4020582.9962,NA,60
2016-03-04 12:26:43,"1602B","ed",241,66,521,27,15,65,15,65,5,55,410902.9212,4020593.7699,NA,73.3333333333333
2016-03-04 12:58:05,"1603B","ed",312,104,309,44,15,65,15,35,15,35,411172.7661,4021304.3314,NA,60
2016-03-04 13:28:15,"1605A","ed",305,91,348,42,15,65,15,55,5,65,411712.2957,4020410.7743,NA,73.3333333333333
2016-03-04 13:34:25,"1605B","ed",310,97,434,31,5,85,0,95,5,85,411645.6086,4020403.1325,NA,91.6666666666667
2016-03-04 13:51:02,"1606A","ed",282,99,399,43,15,75,5,85,5,85,411968.1872,4020964.1916,NA,90
2016-03-04 13:56:09,"1606B","ed",290,84,338,41,15,75,5,95,15,85,412013.6592,4020960.4025,NA,96.6666666666667
2016-03-04 14:01:18,"1606C","ed",282,99,302,39,25,65,15,85,15,85,412065.9001,4020969.0808,NA,96.6666666666667
2016-03-04 14:14:01,"1604A","ed",330,117,312,48,5,75,5,85,25,45,411838.7811,4021153.0998,NA,80
2016-03-04 14:23:57,"1604B","ed",312,119,394,49,15,75,15,75,5,75,411787.1738,4021144.8602,NA,86.6666666666667
2016-03-04 14:32:03,"1607A","ed",305,107,315,51,35,55,25,75,25,55,411914.1653,4021328.3915,NA,90
2016-03-04 14:41:08,"1607B","ed",292,94,348,51,15,75,15,75,25,85,411943.449,4021330.535,NA,96.6666666666667
